亚,亜
天,天
展,展
店,店
添,添
转,転
点,点
传,伝
殿,殿
田,田
电,電
吐,吐
涂,塗
徒,徒
斗,斗
渡,渡
登,登
途,途
都,都
努,努
度,度
土,土
奴,奴
怒,怒
倒,倒
党,党
冬,冬
冻,凍
刀,刀
唐,唐
塔,塔
岛,島
悼,悼
投,投
搭,搭
东,東
桃,桃
栋,棟
盗,盗
汤,湯
灯,灯
当,当
痘,痘
等,等
答,答
筒,筒
糖,糖
统,統
到,到
讨,討
誊,謄
豆,豆
踏,踏
逃,逃
透,透
陶,陶
头,頭
腾,騰
闘,闘
働,働
动,動
同,同
堂,堂
导,導
洞,洞
童,童
胴,胴
道,道
铜,銅
峠,峠
匿,匿
得,得
德,徳
特,特
督,督
笃,篤
毒,毒
独,独
读,読
凸,凸
突,突
届,届
屯,屯
豚,豚
昙,曇
钝,鈍
内,内
绳,縄
南,南
软,軟
难,難
二,二
尼,尼
贰,弐
肉,肉
日,日
乳,乳
入,入
如,如
尿,尿
任,任
妊,妊
忍,忍
认,認
宁,寧
猫,猫
热,熱
年,年
念,念
燃,燃
粘,粘
恼,悩
浓,濃
纳,納
能,能
脑,脳
农,農
把,把
霸,覇
波,波
派,派
破,破
婆,婆
马,馬
俳,俳
废,廃
拜,拝
排,排
败,敗
杯,杯
背,背
肺,肺
辈,輩
配,配
倍,倍
培,培
媒,媒
梅,梅
买,買
卖,売
赔,賠
陪,陪
伯,伯
博,博
拍,拍
泊,泊
白,白
舶,舶
薄,薄
迫,迫
漠,漠
爆,爆
缚,縛
麦,麦
箱,箱
肌,肌
畑,畑
八,八
钵,鉢
发,発
髪,髪
伐,伐
罚,罰
拔,抜
阀,閥
伴,伴
判,判
半,半
反,反
帆,帆
搬,搬
板,板
版,版
犯,犯
班,班
畔,畔
繁,繁
般,般
藩,藩
贩,販
范,範
烦,煩
颁,頒
饭,飯
晚,晩
番,番
盘,盤
蛮,蛮
卑,卑
否,否
妃,妃
彼,彼
悲,悲
扉,扉
批,批
披,披
比,比
泌,泌
疲,疲
皮,皮
碑,碑
秘,秘
罢,罷
肥,肥
被,被
费,費
避,避
非,非
飞,飛
备,備
尾,尾
微,微
美,美
鼻,鼻
匹,匹
必,必
笔,筆
姬,姫
百,百
俵,俵
标,標
冰,氷
漂,漂
票,票
表,表
评,評
描,描
病,病
秒,秒
苗,苗
品,品
浜,浜
贫,貧
宾,賓
频,頻
敏,敏
瓶,瓶
不,不
付,付
夫,夫
妇,婦
富,富
布,布
府,府
怖,怖
扶,扶
敷,敷
普,普
浮,浮
父,父
符,符
腐,腐
肤,膚
谱,譜
负,負
赋,賦
赴,赴
附,附
侮,侮
武,武
舞,舞
部,部
封,封
风,風
伏,伏
副,副
复,復
幅,幅
服,服
福,福
腹,腹
複,複
覆,覆
拂,払
沸,沸
佛,仏
物,物
分,分
喷,噴
坟,墳
愤,憤
奋,奮
粉,粉
纷,紛
氛,雰
文,文
闻,聞
丙,丙
并,併
兵,兵
塀,塀
币,幣
平,平
弊,弊
柄,柄
并,併
闭,閉
陛,陛
米,米
壁,壁
癖,癖
别,別
偏,偏
变,変
片,片
编,編
边,辺
返,返
遍,遍
便,便
勉,勉
弁,弁
保,保
铺,舗
捕,捕
步,歩
补,補
穗,穂
募,募
墓,墓
慕,慕
暮,暮
母,母
簿,簿
仿,倣
俸,俸
包,包
报,報
奉,奉
宝,宝
峰,峰
崩,崩
抱,抱
放,放
方,方
法,法
泡,泡
炮,砲
缝,縫
胞,胞
芳,芳
褒,褒
访,訪
丰,豊
邦,邦
饱,飽
乏,乏
亡,亡
傍,傍
剖,剖
坊,坊
妨,妨
帽,帽
忘,忘
忙,忙
房,房
暴,暴
望,望
某,某
棒,棒
冒,冒
纺,紡
肪,肪
膨,膨
谋,謀
贸,貿
防,防
北,北
仆,僕
墨,墨
扑,撲
朴,朴
牧,牧
没,没
堀,堀
奔,奔
本,本
翻,翻
凡,凡
盆,盆
摩,摩
磨,磨
魔,魔
麻,麻
埋,埋
妹,妹
枚,枚
每,毎
幕,幕
膜,膜
又,又
抹,抹
末,末
茧,繭
万,万
慢,慢
满,満
漫,漫
味,味
未,未
魅,魅
岬,岬
